ts_code,ann_date,end_date,div_proc,stk_div,cash_div,cash_div_tax,record_date,ex_date,pay_date
002747.SZ,20260331,20251231,预案,0.0,0.0,0.0,,,
002747.SZ,20250829,20250630,预案,0.0,0.0,0.0,,,
002747.SZ,20250429,20241231,预案,0.0,0.0,0.0,,,
002747.SZ,20250429,20241231,股东大会通过,0.0,0.0,0.0,,,
002747.SZ,20240830,20240630,预案,0.0,0.0,0.0,,,
002747.SZ,20240430,20231231,预案,0.0,0.0,0.06,,,
002747.SZ,20240430,20231231,股东大会通过,0.0,0.0,0.06,,,
002747.SZ,20240430,20231231,实施,0.0,0.06,0.06,20240606,20240607,20240607
002747.SZ,20230831,20230630,预案,0.0,0.0,0.0,,,
002747.SZ,20230429,20221231,预案,0.0,0.0,0.03,,,
002747.SZ,20230429,20221231,股东大会通过,0.0,0.0,0.03,,,
002747.SZ,20230429,20221231,实施,0.0,0.03,0.03,20230705,20230706,20230706
002747.SZ,20220831,20220630,预案,0.0,0.0,0.0,,,
002747.SZ,20220429,20211231,预案,0.0,0.0,0.03,,,
002747.SZ,20220429,20211231,股东大会通过,0.0,0.0,0.03,,,
002747.SZ,20220429,20211231,实施,0.0,0.03,0.03,20220622,20220623,20220623
002747.SZ,20210831,20210630,预案,0.0,0.0,0.045,,,
002747.SZ,20210831,20210630,股东大会通过,0.0,0.0,0.045,,,
002747.SZ,20210831,20210630,实施,0.0,0.045,0.045,20210929,20210930,20210930
002747.SZ,20210430,20201231,预案,0.0,0.0,0.0,,,
002747.SZ,20210430,20201231,股东大会通过,0.0,0.0,0.0,,,
002747.SZ,20200828,20200630,预案,0.0,0.0,0.0,,,
002747.SZ,20200428,20191231,预案,0.0,0.0,0.0,,,
002747.SZ,20200428,20191231,股东大会通过,0.0,0.0,0.0,,,
002747.SZ,20190827,20190630,预案,0.0,0.0,0.0,,,
002747.SZ,20190426,20181231,预案,0.0,0.0,0.072,,,
002747.SZ,20190426,20181231,股东大会通过,0.0,0.0,0.072,,,
002747.SZ,20190426,20181231,实施,0.0,0.072,0.072,20190531,20190603,20190603
002747.SZ,20180817,20180630,预案,0.0,0.0,0.0,,,
002747.SZ,20180420,20171231,实施,0.0,0.072,0.072,20180529,20180530,20180530
002747.SZ,20170321,20161231,实施,2.0,0.2,0.2,20170606,20170607,20170607
002747.SZ,20160425,20151231,实施,1.0,0.4,0.4,20160524,20160525,20160525
002747.SZ,20150428,20141231,实施,0.0,0.095,0.1,20150603,20150604,20150604
