ts_code,ann_date,end_date,report_type,n_cashflow_act,c_pay_acq_const_fiolta,free_cashflow
300274.SZ,20260428,20260331,1,1208404186.03,654404859.12,
300274.SZ,20260428,20260331,1,1208404186.03,654404859.12,654563069.5088
300274.SZ,20260401,20251231,1,16917778579.11,3008018823.6,14859361474.8515
300274.SZ,20251029,20250930,1,9913690247.24,2059134990.13,7798452666.0875
300274.SZ,20250826,20250630,1,3434473555.69,1461666219.92,
300274.SZ,20250826,20250630,1,3434473555.69,1461666219.92,946697353.5756
300274.SZ,20250426,20250331,1,1790260757.02,854559529.53,
300274.SZ,20250426,20250331,1,1790260757.02,854559529.53,-2176755879.764
300274.SZ,20250426,20241231,1,12068326644.66,2785952760.93,
300274.SZ,20250426,20241231,1,12068326644.66,2785952760.93,6192498616.4387
