ts_code,trade_date,close,pe_ttm,pb,ps_ttm,total_mv,circ_mv,dv_ttm,total_share,float_share
300274.SZ,20260428,129.89,22.5793,5.534,3.1419,26928943.1863,20652701.4189,1.5474,207321.1424,159001.4737
300274.SZ,20260427,131.39,20.2358,5.8441,3.0543,27239924.8999,20891203.6294,1.5297,207321.1424,159001.4737
300274.SZ,20260424,133.79,20.6054,5.9509,3.1101,27737495.6417,21272807.1663,1.5023,207321.1424,159001.4737
300274.SZ,20260423,134.5,20.7147,5.9824,3.1266,27884693.6528,21385698.2127,1.4943,207321.1424,159001.4737
300274.SZ,20260422,136.91,21.0859,6.0896,3.1827,28384337.606,21768891.7643,1.468,207321.1424,159001.4737
300274.SZ,20260421,136.23,20.9812,6.0594,3.1669,28243359.2292,21660770.7622,1.4754,207321.1424,159001.4737
300274.SZ,20260420,135.2,20.8226,6.0136,3.1429,28029818.4525,21496999.2442,1.4866,207321.1424,159001.4737
300274.SZ,20260417,132.75,20.4452,5.9046,3.086,27521881.6536,21107445.6337,1.514,207321.1424,159001.4737
300274.SZ,20260416,133.9,20.6223,5.9558,3.1127,27760300.9674,21290297.3284,1.501,207321.1424,159001.4737
300274.SZ,20260415,133.89,20.6208,5.9553,3.1125,27758227.7559,21288707.3137,1.5011,207321.1424,159001.4737
300274.SZ,20260414,139.46,21.4786,6.2031,3.2419,28913006.5191,22174345.5222,1.4412,207321.1424,159001.4737
300274.SZ,20260413,134.24,20.6747,5.9709,3.1206,27830790.1558,21344357.8161,1.4972,207321.1424,159001.4736
300274.SZ,20260410,130.79,20.1434,5.8174,3.0404,27115532.2145,20795802.7321,1.5367,207321.1424,159001.4736
300274.SZ,20260409,123.8,19.0668,5.5065,2.8779,25666357.4291,19684382.4317,1.6235,207321.1424,159001.4736
300274.SZ,20260408,126.99,19.5581,5.6484,2.9521,26327711.8734,20191597.1325,1.5827,207321.1424,159001.4736
300274.SZ,20260407,122.28,18.8327,5.4389,2.8426,25351229.2927,19438967.1424,1.6437,207321.1424,158970.9449
300274.SZ,20260403,123.32,18.9929,5.4852,2.8667,25566843.2808,19604296.9251,1.6298,207321.1424,158970.9449
300274.SZ,20260402,127.25,19.5981,5.66,2.9581,26381615.3704,20229052.7385,1.5795,207321.1424,158970.9449
300274.SZ,20260401,134.45,20.707,5.9802,3.1255,27874327.5957,21373643.5418,1.4949,207321.1424,158970.9449
