end_date,total_assets,total_liab,total_hldr_eqy_exc_min_int
20081231,166058012.39,53060785.22,112997227.17
20091231,277429674.93,129217362.96,148212311.97
20101231,854968511.56,462160171.21,392808340.35
20111231,2413124679.49,603404333.83,1809720345.66
20121231,2754112872.89,907649162.88,1846463710.01
20131231,3906167188.22,1857953773.14,2048194320.51
20141231,4879350943.63,2512839478.72,2366511464.91
20151231,6783116579.55,3947333682.49,2814074093.06
20161231,11656799146.66,5693134541.88,5949438965.83
20171231,16248005972.55,9224880818.18,6943775881.83
20181231,18492650081.88,10697825717.81,7705933541.79
20191231,22819128262.19,14064317073.82,8594198036.97
20201231,28002933994.86,17138236879.83,10455904743.14
20211231,42840130915.46,26136452866.7,15655063485.71
20221231,61626211527.11,41889216326.37,18666305389.67
20231231,82876506727.57,53422010433.85,27705218364.4
20241231,115073771122.86,74875023074.72,36905064146.23
20251231,118679392074.17,68907524405.28,46610878177.03
