end_date,total_revenue,oper_cost,n_income_attr_p,operate_profit
20081231,100456789.04,52514728.79,8211095.12,4133916.87
20091231,180276186.89,91013763.4,35215084.8,23945906.69
20101231,598831418.37,300488341.58,148033017.17,154641764.43
20111231,873644321.24,485010191.69,172548069.31,176827490.16
20121231,1083332609.01,723737820.25,72801702.77,54346182.03
20131231,2120396019.63,1609588367.86,181031995.32,175818625.0
20141231,3062247398.82,2290021412.22,283286368.62,278788487.53
20151231,4569247182.81,3486392815.42,425402044.47,443563764.78
20161231,6003662456.2,4527436193.39,553613069.28,613286547.85
20171231,8886060068.67,6464107356.02,1024196698.41,1145291896.46
20181231,10368931999.29,7791149934.77,809628201.93,912426356.43
20191231,13003331783.65,9906843318.02,892552821.2,1047816872.59
20201231,19285641347.02,14836768931.09,1954308244.82,2168341287.29
20211231,24136598726.55,18765234741.08,1582707374.76,1897577353.36
20221231,40257239155.34,30375806550.32,3593410009.26,4141144502.9
20231231,72250674939.46,50317573513.17,9439561800.25,11466454433.7
20241231,77856966964.63,54544610426.28,11036278921.36,13564212653.73
20251231,89184357325.77,60795459298.16,13461279955.37,16295228396.19
