ts_code,end_date,q_gsprofit_margin,grossprofit_margin,q_sales_yoy,q_profit_yoy,name
300274.SZ,20241231,27.4818,29.9425,8.0313,55.3698,阳光电源
300274.SZ,20241231,27.4818,29.9425,8.0313,55.3698,阳光电源
300274.SZ,20250331,35.134,35.134,50.9202,79.9738,阳光电源
300274.SZ,20250331,35.134,35.134,50.9202,79.9738,阳光电源
300274.SZ,20250630,33.7549,34.3579,33.0894,37.3608,阳光电源
300274.SZ,20250930,35.8672,34.8777,20.8313,53.9217,阳光电源
300274.SZ,20251231,22.9537,31.8317,-18.3747,-55.3892,阳光电源
300827.SZ,20241231,18.6082,22.9216,5.0759,50.6222,上能电气
300827.SZ,20250331,24.2836,24.2836,16.777,72.6879,上能电气
300827.SZ,20250630,24.0652,24.1483,11.4592,2.6159,上能电气
300827.SZ,20250630,24.0652,24.1483,11.4592,2.6159,上能电气
300827.SZ,20250930,24.2029,24.1694,20.7438,-21.8799,上能电气
300763.SZ,20241231,23.7185,31.5671,-5.3963,-19.9941,锦浪科技
300763.SZ,20241231,23.7185,31.5671,-5.3963,-19.9941,锦浪科技
300763.SZ,20250331,32.069,32.069,8.6483,859.7835,锦浪科技
300763.SZ,20250331,32.069,32.069,8.6483,859.7835,锦浪科技
300763.SZ,20250630,38.0647,35.6664,16.2542,22.7479,锦浪科技
300763.SZ,20250630,38.0647,35.6664,16.2542,22.7479,锦浪科技
300763.SZ,20250930,36.8099,36.0437,3.4328,-16.8463,锦浪科技
688390.SH,20241231,15.3017,20.9503,5.4119,-86.7232,固德威
688390.SH,20241231,15.3017,20.9503,5.4119,-86.7232,固德威
688390.SH,20250331,19.4111,19.4111,67.1272,44.2078,固德威
688390.SH,20250331,19.4111,19.4111,67.1272,44.2078,固德威
688390.SH,20250630,20.3586,19.9221,9.0129,9.5812,固德威
688390.SH,20250930,26.2234,22.067,17.4161,92.0074,固德威
605117.SH,20241231,35.2833,38.7632,176.5125,223.6109,德业股份
605117.SH,20250331,37.2052,37.2052,36.2361,62.9687,德业股份
605117.SH,20250630,37.7148,37.4786,3.6544,1.6527,德业股份
605117.SH,20250930,40.3324,38.5467,1.3181,-17.9221,德业股份
605117.SH,20251231,37.0288,38.1273,5.8592,14.2031,德业股份
002335.SZ,20241231,24.8982,25.2006,-10.4317,22.7261,科华数据
002335.SZ,20250331,30.1441,30.1441,2.7313,-6.8045,科华数据
002335.SZ,20250630,22.5382,25.0167,-1.1861,14.1624,科华数据
002335.SZ,20250630,22.5382,25.0167,-1.1861,14.1624,科华数据
002335.SZ,20250930,25.2543,25.0988,18.6526,582.5655,科华数据
