trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
20251229,1402.0,19.5017,7.7319,9.8315,3.6836,175568284.143,175568284.143
20251230,1389.72,19.3308,7.6642,9.7454,3.7161,174030496.319,174030496.319
20260115,1388.89,19.3193,7.6596,9.7396,3.7183,173926557.8911,173926557.8911
20260116,1382.0,19.2235,7.6216,9.6913,3.7369,173063743.713,173063743.713
20260119,1376.0,19.14,7.5885,9.6492,3.7532,172312381.584,172312381.584
20260120,1373.55,19.1059,7.575,9.632,3.7599,172005575.3813,172005575.3813
20260121,1351.06,18.7931,7.451,9.4743,3.8225,169189219.6678,169189219.6678
20260122,1340.06,18.6401,7.3903,9.3972,3.8538,167811722.4313,167811722.4313
20260123,1337.0,18.5975,7.3735,9.3757,3.8627,167428527.7455,167428527.7455
20260126,1342.0,18.6671,7.401,9.4108,3.8483,168054662.853,168054662.853
20260127,1343.01,18.6811,7.4066,9.4179,3.8454,168181142.1447,168181142.1447
20260128,1323.69,18.4124,7.3001,9.2824,3.9015,165761756.0893,165761756.0893
20260129,1437.72,19.9985,7.9289,10.082,3.5921,180041393.351,180041393.351
20260130,1401.0,19.4878,7.7264,9.8245,3.6862,175443057.1215,175443057.1215
20260203,1474.92,20.516,8.1341,10.3429,3.5015,184699838.5508,184699838.5508
20260204,1525.0,21.2126,8.4103,10.6941,3.3865,190971207.7875,190971207.7875
20260205,1555.0,21.6299,8.5757,10.9044,3.3211,194728018.4325,194728018.4325
20260206,1515.01,21.0736,8.3552,10.624,3.4088,189720189.8427,189720189.8427
20260209,1524.96,21.212,8.41,10.6938,3.3866,190966198.7066,190966198.7066
20260210,1504.8,20.9316,8.2989,10.5524,3.4319,188441621.9532,188441621.9532
20260211,1504.33,20.9251,8.2963,10.5491,3.433,188382765.2531,188382765.2531
20260302,1440.11,20.0318,7.9421,10.0988,3.5861,180340685.9324,180340685.9324
20260303,1426.19,19.8381,7.8653,10.0012,3.6211,178597525.7931,178597525.7931
20260304,1401.18,19.4903,7.7274,9.8258,3.6857,175465597.9854,175465597.9854
20260305,1399.04,19.4605,7.7156,9.8108,3.6914,175197612.1594,175197612.1594
20260306,1402.0,19.5017,7.7319,9.8315,3.6836,175568284.143,175568284.143
20260309,1397.0,19.4321,7.7043,9.7965,3.6968,174942149.0355,174942149.0355
20260310,1401.88,19.5,7.7313,9.8307,3.6839,175553256.9004,175553256.9004
20260311,1400.0,19.4738,7.7209,9.8175,3.6888,175317830.1,175317830.1
20260312,1392.0,19.3626,7.6768,9.7614,3.71,174316013.928,174316013.928
20260313,1413.64,19.6636,7.7961,9.9132,3.6532,177025926.6733,177025926.6733
20260316,1460.18,20.3109,8.0528,10.2395,3.5368,182853992.2539,182853992.2539
20260317,1485.0,20.6562,8.1897,10.4136,3.4777,185962126.9275,185962126.9275
20260331,1450.0,20.1693,7.9966,10.1681,3.5616,181579181.175,181579181.175
20260401,1459.44,20.3006,8.0487,10.2343,3.5386,182761324.258,182761324.258
20260402,1459.88,20.3068,8.0511,10.2374,3.5375,182816424.1474,182816424.1474
20260403,1460.0,20.3084,8.0518,10.2383,3.5372,182831451.39,182831451.39
20260407,1440.02,20.0305,7.9416,10.0981,3.5863,180329415.5004,180329415.5004
20260408,1465.02,20.3783,8.0795,10.2735,3.5251,183460091.0379,183460091.0379
20260409,1460.49,20.3153,8.0545,10.2417,3.5361,182892812.6305,182892812.6305
20260410,1453.96,20.2244,8.0185,10.1959,3.5519,182075080.1801,182075080.1801
20260413,1443.31,20.0763,7.9597,10.1212,3.5781,180741412.4012,180741412.4012
20260414,1446.9,20.1262,7.9795,10.1464,3.5693,181190977.4084,181190977.4084
20260415,1467.5,20.4128,8.0932,10.2909,3.5192,183770654.0513,183770654.0513
20260416,1462.84,20.3479,8.0675,10.2582,3.5304,183187096.1311,183187096.1311
20260417,1407.24,21.4072,7.2035,10.4375,3.6699,176224473.7357,176224473.7357
20260420,1410.89,21.4628,7.2222,10.4646,3.6604,176681552.3641,176681552.3641
