ts_code,name,end_date,bz_code,used_bz_code,bz_item,sales_yi,cost_yi,profit_yi,gross_margin_pct
605117.SH,德业股份,20251231,P,P,储能逆变器,52.1746390176,25.5150860181,26.659552999499997,51.09676559622572
605117.SH,德业股份,20251231,P,P,储能电池,38.3240876998,26.134297798200002,12.189789901600001,31.8071234913274
605117.SH,德业股份,20251231,P,P,光伏逆变器,10.5355614816,7.1527837361,3.3827777455000003,32.10818665343946
605117.SH,德业股份,20251231,P,P,热交换器,9.376558836000001,8.6540039561,0.7225548798999999,7.705970735509604
605117.SH,德业股份,20251231,P,P,除湿机,8.0529836925,5.6597948346,2.3931888579,29.71803929180749
605117.SH,德业股份,20251231,P,P,太阳能空调,2.4096659634,1.64290676,0.7667592034,31.820144992964718
605117.SH,德业股份,20251231,P,P,逆变器配件及其他,0.7709322836,0.6217196417,0.1492126419,19.354831166652676
605117.SH,德业股份,20251231,P,P,其他业务,0.37925569270000004,0.0950252008,0.2842304919,74.94429150858728
605117.SH,德业股份,20251231,P,P,其他主营业务,0.2137499582,0.1559794936,0.0577704646,27.027123226824568
