ts_code,name,industry,market,list_date,act_name,total_mv,pe_ttm,pb,employees,mv_亿,top1_holder,top1_hold_ratio,latest_holder_end_date,founder_best_ratio,founder_best_rank,mgr_latest_ann_date,mgr_count,mgr_avg_age,mgr_high_edu_ratio,mgr_high_edu_count,mgr_edu_sample_n,founder_major_holder,young_mgmt,high_edu_mgmt,mgr_data_ok,all_match_proxy
688359.SH,三孚新科,化工原料,科创板,20210521,上官文龙,956257.6875,,14.6805,821.0,95.62576875,上官文龙,27.6721,20250930,27.6721,1.0,20251111,4.0,44.75,0.5,2.0,4.0,True,True,True,True,True
688787.SH,海天瑞声,软件服务,科创板,20210813,贺琳,835805.3689,593.8437,11.2694,238.0,83.58053689,贺琳,19.5171,20250930,19.5171,1.0,20250917,3.0,41.0,1.0,3.0,3.0,True,True,True,True,True
688293.SH,奥浦迈,生物制药,科创板,20220902,肖志华,770313.3822,184.734,2.5962,328.0,77.03133822,肖志华,24.9249,20250930,24.9249,1.0,20251202,3.0,42.0,0.6666666666666666,2.0,3.0,True,True,True,True,True
688197.SH,首药控股-U,化学制药,科创板,20220323,李文军,623877.6439,,9.3804,178.0,62.38776439,李文军,49.0542,20251231,49.0542,1.0,20250916,3.0,39.666666666666664,1.0,3.0,3.0,True,True,True,True,True
688711.SH,宏微科技,半导体,科创板,20210901,赵善麒,607953.8383,348.7374,5.8447,1093.0,60.79538382999999,赵善麒,17.7316,20250930,17.7316,1.0,20250813,5.0,42.4,0.8,4.0,5.0,True,True,True,True,True
688212.SH,澳华内镜,医疗保健,科创板,20211115,顾小舟,499608.0775,435.8859,3.8056,1215.0,49.96080775,顾小舟,16.1441,20250930,16.1441,1.0,20251213,11.0,43.63636363636363,0.8181818181818182,9.0,11.0,True,True,True,True,True
688489.SH,三未信安,IT设备,科创板,20221202,张岳公,459686.6072,,2.5056,875.0,45.96866072,张岳公,20.5649,20251231,20.5649,1.0,20250909,3.0,43.666666666666664,0.6666666666666666,2.0,3.0,True,True,True,True,True
920249.BJ,利尔达,元器件,北交所,20230217,陈凯,457468.55,108.0782,6.0006,1012.0,45.746855,杭州利尔达控股集团有限公司,42.5168,20251231,11.461,2.0,20250806,8.0,44.625,0.875,7.0,8.0,True,True,True,True,True
301528.SZ,多浦乐,电器仪表,创业板,20230828,蔡庆生,446732.3,74.1476,2.9223,408.0,44.67323,蔡庆生,39.6832,20250930,39.6832,1.0,20251113,11.0,42.45454545454545,0.6363636363636364,7.0,11.0,True,True,True,True,True
301115.SZ,联检科技,建筑工程,创业板,20220831,杨江金,393110.2287,128.6044,1.5569,3141.0,39.311022869999995,杨江金,12.4363,20250930,12.4363,1.0,20251226,4.0,43.25,0.5,2.0,4.0,True,True,True,True,True
688435.SH,英方软件,软件服务,科创板,20230119,胡军擎,349865.0,,3.1911,587.0,34.9865,胡军擎,29.2874,20250930,29.2874,1.0,20250916,3.0,45.0,0.6666666666666666,2.0,3.0,True,True,True,True,True
301520.SZ,万邦医药,生物制药,创业板,20230925,陶春蕾,295400.0015,72.3243,1.9527,478.0,29.54000015,陶春蕾,39.6417,20250930,39.6417,1.0,20250822,9.0,43.77777777777778,0.8888888888888888,8.0,9.0,True,True,True,True,True
688565.SH,力源科技,环境保护,科创板,20210513,沈万中,191504.67,198.0482,3.8499,196.0,19.150467000000003,沈万中,32.0991,20250930,32.0991,1.0,20251211,8.0,40.875,0.5,4.0,8.0,True,True,True,True,True
688217.SH,睿昂基因,医疗保健,科创板,20210517,熊慧,161144.26,,1.9073,401.0,16.114426,熊慧,18.219,20251231,18.219,1.0,20251011,3.0,37.333333333333336,1.0,3.0,3.0,True,True,True,True,True
